rank,slug,name,category,renderer_class,animation_class,promotion_action,dedup_scan_result,source_check_target,source_check_status,first_practical_path,app_admission_gate,promotion_note,registry_status,promotion_batch
1,exponential_family_parameter_plane,Exponential Family Parameter Plane,complex dynamics,single_pass_escape_time,parameter_morph,promoted_reference,none found in fuzzy scan,transcendental complex dynamics references for z -> lambda exp(z); parameter-plane conventions,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,lambda*exp(z) parameter-plane shader,shader compile + parameter-plane labels,Low overlap in registry scan; canonical transcendental-family parameter plane. Verify lambda*exp(z) formula and parameter-window conventions before registry insertion.,promoted_reference,frontier_reference_microbatch_2026_06_06
2,sine_family_parameter_plane,Sine Family Parameter Plane,complex dynamics,single_pass_escape_time,parameter_morph,promoted_reference,none found in fuzzy scan,transcendental complex dynamics references for z -> lambda sin(z),source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,lambda*sin(z) parameter-plane shader,shader compile + thumbnail proof,Low overlap in registry scan; distinct from ordinary trigonometric coloring because it is an iterated transcendental parameter plane.,promoted_reference,frontier_reference_microbatch_2026_06_06
3,baker_domain_exponential_map,Baker Domain Exponential Map,complex dynamics,single_pass_escape_time,time_parametric,promoted_reference,none found in fuzzy scan,transcendental dynamics references that define Baker domains and a concrete iterated map,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,transcendental map shader,formula provenance + bailout safety,Low overlap in registry scan; reference-tier only until formula/source specificity is confirmed.,promoted_reference,frontier_reference_microbatch_2_2026_06_06
4,lattes_map_julia_set,Lattes Map Julia Set,complex dynamics,single_pass_escape_time,parameter_morph,reconcile_or_reference_family,"targeted search: Lattès Map (degree 4, Weierstrass); Lattès Map (degree 9)",complex dynamics references for Lattès maps; choose canonical rational representative,source target identified; external citation/formula verification still required before registry insertion,rational map shader presets,canonical formula + zoom/readability proof,"Existing Lattès references are present; safest action is reconcile/enrich a Lattès family entry or add only a distinct Julia-set showcase alias, not a duplicate canonical entry.",candidate,
5,modular_lambda_function_coloring,Modular Lambda Function Coloring,domain coloring / modular,single_pass_domain_coloring,phase_rotation,promoted_reference,lambda_w (Lambda W Fractal) via lambda; lambda (Lambda Fractal) via lambda,modular lambda function definitions and numerically stable q-series/product source,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,domain-coloring function module,source + function approximation proof,Possible generic lambda-name collisions only; distinct modular lambda function entry if source/formula is verified.,promoted_reference,frontier_reference_microbatch_2_2026_06_06
6,dedekind_eta_function_coloring,Dedekind Eta Function Coloring,domain coloring / modular,single_pass_domain_coloring,phase_rotation,promoted_reference,none found in fuzzy scan,Dedekind eta function definitions and q-product/series convergence source,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,domain-coloring function module,series convergence + visual proof,Low overlap in registry scan; domain-coloring entry with series/convergence gate.,promoted_reference,frontier_reference_microbatch_2026_06_06
7,schwarz_triangle_function_tessellation,Schwarz Triangle Function Tessellation,domain coloring / hyperbolic,single_pass_domain_coloring,parameter_morph,promoted_reference,none found in fuzzy scan,Schwarz triangle function / triangle group references and mapping formula,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,reference first; shader later,formula + feasibility prototype,Low overlap in registry scan; promote as reference first because shader feasibility is uncertain.,promoted_reference,frontier_reference_microbatch_2026_06_06
8,gamma_function_newton_fractal,Gamma Function Newton Fractal,root finding / special functions,single_pass_root_finding,parameter_morph,promoted_reference,newton_z8 (Newton z⁸−1) via newton; newton_z7 (Newton z⁷−1) via newton; newton_z6 (Newton z⁶−1) via newton,Newton method applied to Gamma/reciprocal-Gamma roots or poles; numerical source,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,Newton shader with gamma approximation or CPU prototype,numerical stability + compile proof,Newton-family overlap is expected but gamma-function roots/poles make this a distinct formula target.,promoted_reference,frontier_reference_microbatch_2026_06_06
9,newton_basins_for_trigonometric_equations,Newton Basins for Trigonometric Equations,root finding / transcendental,single_pass_root_finding,parameter_morph,promoted_reference,f0003_mitchell_alternating_equations_newton (Mitchell Alternating-Equations Newton) via equations/newton,Newton fractal references for sin/cos/tan equations and pole handling,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,sin/cos/tan equation shader variants,pole guards + domain window presets,"Overlap with Newton-family entries; promote as a family pack only, not one entry per equation preset.",promoted_reference,frontier_reference_microbatch_2_2026_06_06
10,householder_order_four_basin,Householder Order Four Basin,root finding / polynomiography,single_pass_root_finding,parameter_morph,promoted_reference,f0009_householder_s_method_3rd_order (Householder's Method (3rd Order)) via householder/order,Householder method order-4 formula and polynomial-root basin references,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,root-finding shader template,formula + bounded iteration proof,Existing Householder 3rd-order reference found; order-4 should be distinct only if formula/order is explicit.,promoted_reference,frontier_reference_microbatch_2_2026_06_06
