slug,name,category,renderer_class,animation_class,recommended_tier,exact_registry_match,first_practical_path,cool_factor,source_seed,app_admission_gate,dedup_note,registry_status,promotion_batch
finite_blaschke_product_julia_set,Finite Blaschke Product Julia Set,complex dynamics,single_pass_escape_time,parameter_morph,reference_candidate,none,domain-coloring/escape shader with coefficients,Circle-symmetric rational dynamics with clean basin boundaries,complex dynamics texts; MathWorld/Wikipedia source check,formula + shader compile + frame/hash sanity,new-or-nonexact; run alias/dedup before promotion,candidate,
mcmullen_map_julia_set,McMullen Map Julia Set,complex dynamics,single_pass_escape_time,parameter_morph,reference_candidate,none,escape-time rational map z^n + lambda/z^m,Lacy Cantor-circle islands and baby Mandelbrot-like parameter slices,McMullen rational maps; source check,formula provenance + non-black thumbnail,new-or-nonexact; run alias/dedup before promotion,candidate,
lattes_map_julia_set,Lattes Map Julia Set,complex dynamics,single_pass_escape_time,parameter_morph,reference_candidate,none,rational map shader presets,Rare full-sphere chaotic maps with dense Julia sets,Lattès maps; complex dynamics source check,canonical formula + zoom/readability proof,new-or-nonexact; run alias/dedup before promotion,candidate,
herman_ring_rational_map,Herman Ring Rational Map,complex dynamics,single_pass_escape_time,parameter_morph,reference_candidate,none,rational map parameter presets,Annular rotation domains unlike ordinary Julia sets,complex dynamics literature source check,formula provenance + visual sanity,new-or-nonexact; run alias/dedup before promotion,candidate,
siegel_disk_quadratic_showcase,Siegel Disk Quadratic Showcase,complex dynamics,single_pass_escape_time,parameter_morph,reference_candidate,none,Julia shader preset path around golden-mean c,Smooth rotation disk boundaries with intricate fractal rims,Douady/Siegel disk references source check,dedup against Julia presets + thumbnail entropy,new-or-nonexact; run alias/dedup before promotion,candidate,
baker_domain_exponential_map,Baker Domain Exponential Map,complex dynamics,single_pass_escape_time,time_parametric,reference_candidate,id,transcendental map shader,Escaping channels and wandering-domain-like visuals,transcendental dynamics source check,formula provenance + bailout safety,promoted to reference tier in frontier_reference_microbatch_2_2026_06_06,promoted_reference,frontier_reference_microbatch_2_2026_06_06
exponential_family_parameter_plane,Exponential Family Parameter Plane,complex dynamics,single_pass_escape_time,parameter_morph,reference_candidate,id,lambda*exp(z) parameter-plane shader,Transcendental alternative to Mandelbrot with tendrils and bulbs,Eremenko/Lyubich family source check,shader compile + parameter-plane labels,promoted to reference tier in frontier_reference_microbatch_2026_06_06,promoted_reference,frontier_reference_microbatch_2026_06_06
sine_family_parameter_plane,Sine Family Parameter Plane,complex dynamics,single_pass_escape_time,parameter_morph,reference_candidate,id,lambda*sin(z) parameter-plane shader,Striped transcendental dynamics with symmetry,transcendental dynamics source check,shader compile + thumbnail proof,promoted to reference tier in frontier_reference_microbatch_2026_06_06,promoted_reference,frontier_reference_microbatch_2026_06_06
tangent_family_julia_set,Tangent Family Julia Set,complex dynamics,single_pass_escape_time,parameter_morph,reference_candidate,none,tan(z) escape shader,Pole-driven filaments and basin structures,transcendental iteration source check,singularity guards + visual proof,new-or-nonexact; run alias/dedup before promotion,candidate,
lambert_w_iteration_map,Lambert W Iteration Map,complex dynamics,single_pass_escape_time,parameter_morph,reference_candidate,none,domain-color Newton/iteration shader,Special-function fractal with branch-cut structure,Lambert W references source check,branch handling + domain-color sanity,new-or-nonexact; run alias/dedup before promotion,candidate,
gamma_function_newton_fractal,Gamma Function Newton Fractal,root finding / special functions,single_pass_root_finding,parameter_morph,reference_candidate,id,Newton shader with gamma approximation or CPU prototype,Basins around special-function roots/poles,special functions source check,numerical stability + compile proof,promoted to reference tier in frontier_reference_microbatch_2026_06_06,promoted_reference,frontier_reference_microbatch_2026_06_06
riemann_zeta_newton_fractal,Riemann Zeta Newton Fractal,root finding / special functions,single_pass_root_finding,parameter_morph,reference_candidate,none,domain-color/root shader or CPU prototype first,Iconic number-theory visual tied to zeta zeros,zeta/Newton fractal source check,credible approximation + no fake zero claims,new-or-nonexact; run alias/dedup before promotion,candidate,
weierstrass_elliptic_function_coloring,Weierstrass Elliptic Function Coloring,domain coloring,single_pass_domain_coloring,phase_rotation,reference_candidate,none,domain-coloring function module,Doubly-periodic pole lattice with educational value,elliptic functions source check,formula source + branch/pole handling,new-or-nonexact; run alias/dedup before promotion,candidate,
modular_lambda_function_coloring,Modular Lambda Function Coloring,domain coloring / modular,single_pass_domain_coloring,phase_rotation,reference_candidate,id,domain-coloring function module,Bridge between modular forms and fractal tilings,modular lambda references source check,source + function approximation proof,promoted to reference tier in frontier_reference_microbatch_2_2026_06_06,promoted_reference,frontier_reference_microbatch_2_2026_06_06
dedekind_eta_function_coloring,Dedekind Eta Function Coloring,domain coloring / modular,single_pass_domain_coloring,phase_rotation,reference_candidate,id,domain-coloring function module,Modular-form structure; differentiates catalog from common apps,Dedekind eta references source check,series convergence + visual proof,promoted to reference tier in frontier_reference_microbatch_2026_06_06,promoted_reference,frontier_reference_microbatch_2026_06_06
schwarz_triangle_function_tessellation,Schwarz Triangle Function Tessellation,domain coloring / hyperbolic,single_pass_domain_coloring,parameter_morph,reference_candidate,id,reference first; shader later,Conformal maps to triangle tilings with hyperbolic feel,Schwarz triangle function source check,formula + feasibility prototype,promoted to reference tier in frontier_reference_microbatch_2026_06_06,promoted_reference,frontier_reference_microbatch_2026_06_06
polynomial_mating_showcase,Polynomial Mating Showcase,complex dynamics,reference_first,parameter_morph,reference_candidate,none,reference catalog entry; implementation research,Advanced modern dynamics; rare in apps,complex dynamics texts source check,clear construction + no app claim,new-or-nonexact; run alias/dedup before promotion,candidate,
thurston_rabbit_julia_morph,Thurston Rabbit Julia Morph,complex dynamics,single_pass_escape_time,parameter_morph,reference_candidate,none,Julia preset/morph path,Named classic; recognizable educational entry,Douady rabbit references source check,dedup against existing Julia variants,new-or-nonexact; run alias/dedup before promotion,candidate,
halley_method_basin_atlas,Halley Method Basin Atlas,root finding / polynomiography,single_pass_root_finding,parameter_morph,reference_candidate,none,reuse root-finding shader template,High reuse; distinct convergence basins by method,Halley method source check,method formula + shader asset test,new-or-nonexact; run alias/dedup before promotion,candidate,
householder_order_four_basin,Householder Order Four Basin,root finding / polynomiography,single_pass_root_finding,parameter_morph,reference_candidate,id,root-finding shader template,Higher-order convergence produces different basin filaments,Householder method source check,formula + bounded iteration proof,promoted to reference tier in frontier_reference_microbatch_2_2026_06_06,promoted_reference,frontier_reference_microbatch_2_2026_06_06
householder_order_five_basin,Householder Order Five Basin,root finding / polynomiography,single_pass_root_finding,parameter_morph,reference_candidate,none,root-finding shader template,Adds high-order polynomiography family depth,Householder method source check,formula + shader compile,new-or-nonexact; run alias/dedup before promotion,candidate,
