10.1016/s0960-0779(99)00137-x	Fractal dimension and classification of music
10.1613/jair.3908	AI Methods in Algorithmic Composition: A Comprehensive Survey
10.3389/fphys.2010.00015	Fractals in the nervous system: conceptual implications for theoretical neuroscience
10.3389/frai.2020.00014	Computational Creativity and Music Generation Systems: An Introduction to the State of the Art
10.1093/cercor/bhac363	The fractal brain: scale-invariance in structure and dynamics
10.1371/journal.pone.0013812	Dynamic Emotional and Neural Responses to Music Depend on Performance Expression and Listener Experience
10.1109/5.949485	Interactive evolutionary computation: fusion of the capabilities of EC optimization and human evaluation
10.21083/csieci.v3i2.413	Sync or Swarm: Improvising Music in a Complex Age
10.1371/journal.pone.0072412	Examining Complexity across Domains: Relating Subjective and Objective Measures of Affective Environmental Scenes, Paintings and Music
10.1007/s12559-020-09730-8	Comprehensive Taxonomies of Nature- and Bio-inspired Optimization: Inspiration Versus Algorithmic Behavior, Critical Analysis Recommendations
10.1007/s11571-018-9502-4	Music of brain and music on brain: a novel EEG sonification approach
10.3389/fnins.2017.00159	Global Sensory Qualities and Aesthetic Experience in Music
10.3390/info11050238	A Self-Operating Time Crystal Model of the Human Brain: Can We Replace Entire Brain Hardware with a 3D Fractal Architecture of Clocks Alone?
10.1186/s40064-016-2398-8	Interactive music composition driven by feature evolution
10.1002/cplx.21710	Fractality and self‐organization in the orthodox iconography
10.1038/s41598-019-54060-x	Scaling behaviour in music and cortical dynamics interplay to mediate music listening pleasure
10.1109/access.2020.3013339	An Automatic Method to Develop Music With Music Segment and Long Short Term Memory for Tinnitus Music Therapy
	On Musical Self-Similarity: Intersemiosis as Synecdoche and Analogy
10.1155/2021/5594267	A Systematic Review on Harmony Search Algorithm: Theory, Literature, and Applications
	Music complexity: a multi-faceted description of audio content
