10.1016/j.combustflame.2010.09.002	The Interaction of High-Speed Turbulence with Flames: Turbulent Flame Speed
10.1016/j.combustflame.2009.11.018	The Interaction of High-Speed Turbulence with Flames: Global Properties and Internal Flame Structure
	Fractal dimension of premixed flames in multifractal turbulence
10.1016/j.combustflame.2022.111984	Precise surface temperature measurements at kHz-rates using phosphor thermometry to study flame-wall interactions in narrow passages
10.1016/j.combustflame.2022.112583	Deep learning-based denoising for fast time-resolved flame emission spectroscopy in high-pressure combustion environment
10.1016/j.combustflame.2025.114320	Flame-wall interaction of thermodiffusively unstable hydrogen/air flames -- Part I: Characterization of governing physical phenomena
10.1016/j.combustflame.2025.114319	Flame-wall interaction of thermodiffusively unstable hydrogen/air flames -- Part II: Parametric variations of equivalence ratio, temperature, and pressure
10.3390/fractalfract2040026	Minkowski dimension and explicit tube formulas for $p$-adic fractal strings
	Fractal Homeomorphism for Bi-affine Iterated Function Systems
	A multidimensional combustion model for oblique, wrinkled premixed flames
	Quantitative 3D Morphology of Cellular H2/O2/N2 Flames on a Porous-Plug Burner: Spatially Resolved Measurements of Temperature and OH Radical
	Fractal trajectories of the dynamical system
	Learnable Fractal Flames
	Theory of DDT in Unconfined Flames
	Thermoacoustic Instability Suppression and Heat-Release Forcing of a Laminar Flame Using Ionic Wind
	Infinitely many holes in connectedness loci for collinear affine iterated function systems
10.1016/j.combustflame.2019.11.020	Flame interactions in a stratified swirl burner: flame stabilization, combustion instabilities and beating oscillations
	On affine iterated function systems which robustly admit an invariant affine subspace
	Physics-Aware Neural Network Flame Closure for Combustion Instability Modeling in a Single-Injector Engine
10.1016/j.combustflame.2019.11.031	DNS Study of the Global Heat Release Rate During Early Flame Kernel Development under Engine Conditions
