rank,canonical_name,category,formula_or_rule,parameter_defaults,expected_visual_signature,shader_feasibility,cpu_fallback_feasibility,primary_citations,why_distinct_from_existing,smallest_implementation_batch
5,Complex Hénon Julia set,Complex dynamics / polynomial automorphisms of C²,"Iterate H_{a,c}(z,w)=(z^2+c-a*w, z); color by escape of |z|²+|w|² and/or slice w=0.",a=0.3; c=-0.65+0.35i; iterations=160; bailout=16; slice=w0=0,"Folded 2D slice of a 4D Julia set, webbed filaments distinct from real Hénon attractor dots.",medium,easy,"Rigidity of Julia sets for Henon type maps, DOI 10.3934/jmd.2014.8.1; Control of Julia Sets in Complex Henon Systems, DOI 10.1007/978-981-10-7050-1_7",Existing henon entry is a real strange attractor/map; this is a complex two-variable Julia escape slice.,Add escape-time shader plus CPU parity on 5 sample points.
5,Flow-Lenia mass-conservative continuous cellular automaton,Continuous cellular automata / artificial life,"Continuous field A updated by convolution kernels and mass-conservative flow: A_{t+1}=A_t + dt * div(flow(A,K*A,growth)).",kernelRadius=13; growthCenter=0.15; growthWidth=0.015; dt=0.1; stepsPerFrame=1,"Soft living blobs, gliders, rotating organisms, smooth morphogenesis.",medium,medium,"Flow-Lenia: Emergent evolutionary dynamics in mass conservative continuous cellular automata, DOI 10.1162/artl_a_00471",Catalog has discrete CA and reaction-diffusion; no continuous mass-conservative Lenia/Flow-Lenia organism field found.,Texture ping-pong shader with one Gaussian/ring kernel preset.
5,Bedford-McMullen self-affine carpet,Self-affine IFS / carpets,"Digit IFS on m×n grid: F_{i,j}(x,y)=((x+i)/m,(y+j)/n) for allowed digit set D; render membership by base-m/base-n digit tests.","m=3; n=4; digits={(0,0),(0,1),(1,2),(2,0),(2,3)}; depth=10",Rectangular self-affine carpet with anisotropic scaling and non-Sierpinski column structure.,easy,easy,"The self-affine carpets of McMullen and Bedford have infinite Hausdorff measure, DOI 10.1017/s0305004100072789; Fractal Geometry of Bedford-McMullen Carpets, OpenAlex/Crossref search receipt","Catalog has Sierpinski/Menger-like carpets, not a Bedford-McMullen digit-set self-affine carpet renderer.","Single shader with m,n and encoded digit mask uniforms."
5,Hofstadter butterfly spectrum,Spectral fractal / quasiperiodic lattice,Approximate Harper-Hofstadter spectrum for flux p/q via q×q tight-binding recurrence; plot energy bands vs magnetic flux α.,qMax=64; fluxSamples=256; energySamples=256; threshold=0.02,Butterfly-shaped fractal gaps and nested spectral wings.,medium,medium,"Hall plateau diagram for the Hofstadter butterfly energy spectrum, DOI 10.1103/physrevb.73.155304; Spectroscopy of the fractal Hofstadter energy spectrum, DOI 10.1038/s41586-024-08550-2",Not an escape-time fractal; catalog lacks spectral/quantum fractal visualizations.,CPU precompute spectrum bitmap first; shader colors sampled spectral distance.
4,Mimura-Murray diffusive prey-predator pattern,Reaction-diffusion / ecological Turing patterns,Two-field prey/predator PDE with nonlinear reaction terms and diffusion; classic patchiness model.,preyGrowth=1; predation=1; predatorDeath=0.5; preyDiffusion=0.05; predatorDiffusion=1.0; dt=0.02,"Patchy spots, labyrinths, predator-prey spatial mosaics.",medium,medium,"On a diffusive prey-predator model which exhibits patchiness, DOI 10.1016/0022-5193(78)90332-6; Pattern Formation in a Cross-Diffusive Ratio-Dependent Predator-Prey Model, DOI 10.1155/2012/814069","Distinct ecological predator-prey kinetics; not Gray-Scott, Klausmeier, Brusselator, or generic Turing presets.",Static explicit-iteration shader with finite 8×8 CPU step test.
4,Gerhardt-Schuster-Tyson excitable media CA,Cellular automata / excitable media,Discrete excitable media CA including curvature/dispersion effects; cell excitation depends on neighbor state and refractory dynamics.,excitationThreshold=1; refractoryPeriod=8; curvatureWeight=0.3; dispersion=0.2,Curved target waves and spiral waves with dispersion-sensitive fronts.,easy,easy,"A Cellular Automaton Model of Excitable Media Including Curvature and Dispersion, DOI 10.1126/science.2321017",More specific than generic cyclic/Greenberg-Hastings CA; includes curvature/dispersion controls.,Reuse excitable CA shader pattern with two extra controls.
4,Coupled logistic map lattice,Spatiotemporal chaos / coupled maps,"x_i(t+1)=(1-ε) f(x_i)+ε/2*(f(x_{i-1})+f(x_{i+1})), f(x)=r*x*(1-x); render i vs t or 2D lattice.",r=3.9; coupling=0.18; width=256; steps=256; seed=random,"Bands of synchronized chaos, turbulent stripes, localized spatiotemporal defects.",easy,easy,"Spatiotemporal chaos in mixed linear–nonlinear coupled logistic map lattice, DOI 10.1016/j.physa.2014.01.051; Controlling spatiotemporal chaos in coupled map lattice systems, DOI 10.1103/physrevlett.72.68","Catalog has standalone logistic/lyapunov maps, not coupled-map-lattice spacetime fields.",1D lattice spacetime shader plus deterministic row CPU test.
4,Higher-order root-finding basin family,Root-finding basins / polynomiography,"Expose a cited higher-order family for f(z)=z^n-1 with formula-specific update Φ(z,f,f′,f″); color by root and convergence speed.",method=paper_default; polynomial=z^3-1; iterations=80; tolerance=1e-6; bailout=64,Newton-like basins with thinner filaments and order-dependent convergence bands.,medium,easy,"Higher-Order Root-Finding Algorithms and Their Basins of Attraction, DOI 10.1155/2020/5070363; A New Nonlinear Ninth-Order Root-Finding Method with Error Analysis and Basins of Attraction, DOI 10.3390/math9161996",Existing catalog has fixed named solvers; this should admit only paper-formula methods not already represented.,Extract exact formula before coding; add one method only with source comment and basin test.
4,Self-affine finite-type fractal,Affine IFS / finite-type fractals,Affine IFS maps S_i(x)=A_i x+t_i with finite-type neighbor graph; render attractor by inverse iteration/address coloring.,mapSet=box_like_affine; depth=12; colorBy=address; contraction=paper_default,Skewed self-affine tiles with nonuniform scaling and neighbor-graph boundary motifs.,medium,medium,"Self-affine fractals of finite type, DOI 10.4064/bc84-0-9; An explicit formula for the pressure of box-like affine iterated function systems, DOI 10.4171/jfg/72",Catalog has many similarity IFS/fractal curves; finite-type affine IFS adds non-similarity scaling and address graph structure.,One curated finite-type map set; no generic graph engine.
3,Stable-square oscillatory Turing model,Reaction-diffusion / oscillatory Turing patterns,Two-species reaction-diffusion model tuned to stable square and oscillatory Turing modes; ping-pong finite difference update.,diffusionU=0.08; diffusionV=1.0; kineticPreset=stable_squares; dt=0.15; stepsPerFrame=2,"Square lattices, oscillatory checker spots, superposed Turing modes.",medium,medium,"Stable Squares and Other Oscillatory Turing Patterns in a Reaction-Diffusion Model, DOI 10.1103/physrevlett.92.198303; Spatial Resonances and Superposition Patterns in a Reaction-Diffusion Model with Interacting Turing Modes, DOI 10.1103/physrevlett.88.208303",Potentially overlaps generic Turing/Gray-Scott; accept only as a distinct named kinetic preset with cited parameters.,Preset in existing RD framework if kinetics match; otherwise one static shader.
