10.1016/0010-2180(90)90085-6	Fractal behavior of a wrinkled annular diffusion flame
10.1016/j.combustflame.2024.113926	Flame-turbulence interactions in lean hydrogen flames: Implications for turbulent flame speed and fractal modelling
10.5510/ogp2026si101178	Fractal-based monitoring of gas pipeline operation using flow rate variations
10.1016/0010-2180(89)90132-6	Chemical closure model for fractal flamelets
10.1016/j.combustflame.2016.11.003	Morphological variations of in-flame and exhaust soot particles associated with jet-to-jet variations and jet–jet interactions in a light-duty diesel engine
10.1142/9789812777720_0021	FLAME FRONT INSTABILITIES AND DEVELOPMENT OF FRACTAL FLAMES
10.1016/j.combustflame.2013.05.017	Fractal structures of hydrodynamically unstable and diffusive-thermally unstable flames
10.1016/j.combustflame.2016.02.022	Enhancement of turbulent flame speed of V-shaped flames in fractal-grid-generated turbulence
10.1016/j.combustflame.2014.03.010	Lean premixed opposed jet flames in fractal grid generated multiscale turbulence
10.1017/9781108778459.004	Some Variations on the Assouad Dimension
10.1016/0010-2180(91)90029-b	Agglomerate parameters and fractal dimension of soot using light scattering—effects on surface growth
10.1115/ajtec2011-44222	Flame Fractal Dimension Induced by Hydrodynamic Instability
10.1016/0010-2180(88)90098-3	Cyclic variations and turbulence structure in spark-ignition engines
10.4271/2003-01-1840	Fractal Dimension Growth in Flame Front Wrinkles during the Early Phase of Flame Propagation in an SI Engine
10.3390/fractalfract8040225	A Fractional-Order Archimedean Spiral Moth–Flame Optimization Strategy to Solve Optimal Power Flows
10.1016/j.combustflame.2025.114592	Comment on paper “Flame-turbulence interactions in lean hydrogen flames: Implications for turbulent flame speed and fractal modelling” by F.A. Meziat Ramirez, Q. Douasbin, O. Dounia, O. Vermorel, T. Jaravel, Combustion and Flame 273 (2025) 113926
10.4135/9781071878606.n8	Variations on the Fractality Theme
10.1109/aps.2005.1552028	Element Impedance Variations in Fractal Arrays
10.3390/fractalfract9030188	Fractional Calculus of Variations for Composed Functionals with Generalized Derivatives
10.1016/j.combustflame.2020.12.032	Fractal dimension of premixed flames in intermittent turbulence
