10.3390/s20041135	Survey of Procedural Methods for Two-Dimensional Texture Generation
10.1575/1912/5690	Transform texture classification
10.1145/3130800.3130819	Weighted linde-buzo-gray stippling
10.3189/2014jog13j200	Conditional simulation of Thwaites Glacier (Antarctica) bed topography for flow models: Incorporating inhomogeneous statistics and channelized morphology
	The use of the texture and motion of clouds from geostationary satellite images in rain rate estimation and prediction
	ETOPO1 raster verisinden sentetik SYM fraktal yüzeylerinin GRASS GIS r.surf.fractal modülü ile elde edilmesi
10.14356/kona.1996017	Particle Identification by Image Processing
10.5194/amt-13-6237-2020	Filtering of pulsed lidar data using spatial information and a clustering algorithm
	Solid spaces: a unified approach to describing object attributes
10.33915/etd.1605	Analysis and synthesis of iris images
	Studies on Modeling Angular Soil Particles Using the Discrete Element Method
10.9733/jgg.2020r0006.e	Fractal surfaces of synthetical DEM generated by GRASS GIS module r.surf.fractal from ETOPO1 raster grid
	Developing a flexible and expressive realtime polyphonic wave terrain synthesis instrument based on a visual and multidimensional methodology
10.15388/damss.13.2022	Proceedings of the 13th Conference on "Data analysis methods for software systems
10.3389/fams.2026.1826475	Generation of new batik floral patterns via chaotic modulation and Julia-Mandelbrot fractal transformations
	Application of a quantitative precipitation estimation algorithm for the s-band radar at Irene, South Africa.
	Multiresolution image modelling and estimation
10.1016/j.chaos.2026.118191	Green-function and information–geometric correspondences between inverse eigenvalue loci of generalized Lucas sequences and the Mandelbrot set
10.25560/37117	Estimating the permeability of reservoir sandstones using image analysis of pore structure
10.47749/t/unicamp.2004.318094	Ambiente de gerenciamento de imagens e dados espaciais para desenvolvimento de aplicações em biodiversidade
